Annotation,Speaker,Utterance,,
,@Begin,,,
,@Languages:,eng,,
,@Participants:,"MOT Mother, JAN Unidentified, CHI Target_Child, FAT Father",,
,@Options:,multi,,
,@ID:,eng|Gleason|MOT|||||Mother|||,,
,@ID:,eng|Gleason|JAN|||||Unidentified|||,,
,@ID:,eng|Gleason|CHI|2;02.06|female|TD|MC|Target_Child|||,,
,@ID:,eng|Gleason|FAT|||||Father|||,,
,@Media:,"nanette, audio, missing",,
,@Situation:,Home Dinner Conversation,,
,@Warning:,The tape available in the Media folder appears to be of the researcher eating dinner with the family and spent much of the dinner reading books to the child. It does not match this transcripts.,,
,@Types:,"cross, meal, TD",,
NOP,*MOT:,okay . •89466_91945•,,
,%mor:,intj|okay .,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
,%add:,chi,,
NOP,*MOT:,how you doin(g) ?,,
,%mor:,adv|how pron|you-Prs-Nom-S2 verb|do-Ger-Pres-S ?,,
,%gra:,1|3|ROOT 2|3|NSUBJ 3|1|ADVCL-RELCL 4|1|PUNCT,,
POL,*MOT:,"Nanette , if you look underneath your hamburg(er) , you'll find some catsup .",,
,%mor:,noun|Nanette cm|cm sconj|if pron|you-Prs-Nom-S2 verb|look-Fin-Ind-Pres-S2 adp|underneath pron|your-Prs-Gen-S2 noun|hamburger cm|cm pron|you-Prs-Nom-S2~aux|will-Fin-S verb|find-Inf-S det|some-Def noun|catsup .,,
,%gra:,1|12|VOCATIVE 2|12|PUNCT 3|5|MARK 4|5|NSUBJ 5|12|ADVCL 6|8|CASE 7|8|NMOD-POSS 8|5|OBL 9|12|PUNCT 10|12|NSUBJ 11|12|AUX 12|14|ROOT 13|14|DET 14|12|OBJ 15|12|PUNCT,,
NOP,*MOT:,okay ?,,
,%mor:,intj|okay ?,,
,%gra:,1|1|ROOT 2|1|PUNCT,,
NOP,*JAN:,xxx .,,
,%add:,unknown,,
NOP,*MOT:,Janet already had her supper but she's gonna visit and have some punch .,,
,%mor:,noun|Janet adv|already verb|have-Fin-Ind-Past-S3 pron|her-Prs-Gen-S3 noun|supper cconj|but pron|she-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 adv|gonna verb|visit-Inf-S cconj|and verb|have-Inf-S det|some-Def noun|punch .,,
,%gra:,1|3|NSUBJ 2|3|ADVMOD 3|14|ROOT 4|5|NMOD-POSS 5|3|OBJ 6|10|CC 7|10|NSUBJ 8|10|AUX 9|10|ADVMOD 10|3|CONJ 11|12|CC 12|10|CONJ 13|14|DET 14|12|OBJ 15|3|PUNCT,,
,%add:,chi,,
NOP,*MOT:,is that okay ?,,
