Annotations,Speaker,Utterance
,@UTF8,
,@PID,11312/c-00015388-1
,@Begin,
,@Languages,eng
,@Participants,"CHI Target_Child, KAR Investigator, RAN Adult"
,@Options,multi
,@ID,eng|Bliss|CHI|3;04.|female|TD||Target_Child|||
,@ID,eng|Bliss|KAR|||||Investigator|||
,@ID,eng|Bliss|RAN|||||Adult|||
,@Types,"cross, toyplay, TD"
NOP,*CHI,is that a radio ?
NOP,*CHI,I'm gonna take it home and I'm gonna show my mom .
NOP,*CHI,her's gonna make .
NOP,*CHI,are you gonna make this ?
NOP,*KAR,who do you think this man is ?
NOP,*CHI,crazy .
NOP,*KAR,what time do you eat supper at ?
NOP,*CHI,at my house ?
NOP,*CHI,a sticker &~ah there right ?
NOP,*CHI,<what's that on> [/] <on the tabe> [//] <by the tabe> [//] by the window ?
NOP,*KAR,can you describe the snowman to me ?
,%mor,aux|can-Fin-S pron|you-Prs-Nom-S2 verb|describe-Inf-S det|the-Def-Art noun|snowman adp|to pron|I-Prs-Acc-S1 ?
,%gra,1|3|AUX 2|3|NSUBJ 3|7|ROOT 4|5|DET 5|3|OBJ 6|7|CASE 7|3|OBL 8|3|PUNCT
POL,*CHI,I don't know I can .
NOP,*KAR,what's this a picture of ?
NOP,*CHI,a lady .
NOP,*KAR,can you tell me about the lady ?
NOP,*CHI,got lipstick on .
NOP,*KAR,what else can you tell me about her ?
,*CHI,she's got (.) curly hair .
NOP,*KAR,do you think she's a nice lady ?
NOP,*CHI,my stomach hurts .
NOP,*KAR,oh dear .
NOP,*KAR,why ?
NOP,*CHI,cause it does .
NOP,*KAR,do you need something for it ?
NOP,*CHI,<I just had a thing> [//] I just had a cough drop .
NOP,*CHI,(o)kay let's have another picture on here .
POL,*CHI,I'll put it on (o)kay ?
NOP,*KAR,how do you think this woman feels ?
NOP,*CHI,that woman ?
NOP,*KAR,try to imagine how she feels and tell me .
NOP,*CHI,she feels a lot .
NOP,*KAR,what do you call that ?
NOP,*CHI,a big thing .
NOP,*KAR,what's the baby doing Melissa ?
NOP,*CHI,<put the> [/] the baby's diaper (.) that thing on (.) on the bum .
NOP,*KAR,how does it make the baby feel to get his diaper changed ?
NOP,*CHI,cause he (.) do something .
NOP,*CHI,(o)kay let's play the game now .
NOP,*KAR,what's this a picture of ?
NOP,*CHI,<the (ba)by> [//] the mother kissing the baby .
NOP,*CHI,where's Randy ?
NOP,*KAR,why do you think the mother is kissing the baby ?
NOP,*CHI,<cause it> [//] she wants to .
NOP,*CHI,you gotta lick it right ?
NOP,*CHI,I'll lick him (o)kay ?
NOP,*KAR,right .
NOP,*KAR,and we've got some more pictures of him .
NOP,*CHI,what ?
,%mor,pron|what-Int-S1 ?
,%gra,1|1|ROOT 2|1|PUNCT
NOP,*CHI,who barked ?
,%mor,pron|who-Rel-S1 verb|bark-Fin-Ind-Past-S3 ?
,%gra,1|2|NSUBJ 2|2|ROOT 3|2|PUNCT
,%exp,Our dogs were barking
NOP,*CHI,dog ?
,%mor,noun|dog ?
,%gra,1|1|ROOT 2|1|PUNCT
,%com,<aft> sequence of bear pictures
NOP,*KAR,tell me what the bear is doing here .
